Source	Target	Interaction_in_cancer
ERBB2	PIK3R1	1
ERBB2	GAB1	1
EGF	PIK3CA	1
PIK3CA	PIK3CA	1
ERBB2	ERBB3	1
NRG2	NRG1	1
CDC37	ERBB2	1
CDC37	CDC37	0
KRAS	KRAS	1
KRAS	NRAS	1
SHC1	ERBB4	1
SHC1	GRB2	1
NRG2	GRB2	1
NRG3	HBEGF	1
NRG3	EGF	1
NRG4	EGFR	1
NRG4	ERBB2	1
NRG1	GRB2	1
NRG1	EGF	1
HBEGF	GRB2	1
HBEGF	ERBB3	1
EREG	ERBB3	1
ERBB4	GRB2	1
ERBB4	EGF	1
ERBB3	GRB2	1
ERBB3	EGFR	1
NOTCH1	NOTCH1	1
DLL4	DLL4	1
RBPJ	MAML2	1
RBPJ	MAML1	1
RBPJ	NOTCH1	1
SNW1	MAML3	1
SNW1	KAT2A	1
KAT2A	CCNC	1
JAG1	NOTCH1	1
NOTCH1	UBA52	1
DLL4	UBA52	1
JAG2	UBC	1
JAG2	UBB	1
UBC	UBB	1
UBA52	RPS27A	1
NCOR1	SNW1	1
TBL1XR1	RBPJ	1
HDAC8	SNW1	1
HDAC9	RBPJ	1
HDAC9	SNW1	1
HDAC7	RBPJ	1
HDAC1	RBPJ	1
NCOR1	HDAC8	1
NCOR1	HDAC4	1
NCOR1	HDAC10	1
NCOR2	NCOR2	1
NCOR2	HDAC8	1
NCOR2	HDAC3	1
NCOR2	HDAC1	1
TBL1X	HDAC2	1
TBL1X	HDAC9	1
TBL1X	HDAC7	1
TBL1XR1	HDAC8	1
TBL1XR1	HDAC4	1
TBL1XR1	HDAC2	1
TBL1XR1	HDAC3	1
TBL1XR1	HDAC1	1
HDAC6	HDAC4	1
HDAC8	HDAC4	1
HDAC8	HDAC9	1
HDAC11	HDAC2	1
HDAC11	HDAC1	1
HDAC2	HDAC5	1
HDAC3	HDAC3	1
HDAC3	HDAC10	1
HDAC9	HDAC7	1
HDAC9	HDAC10	1
HDAC5	HDAC5	1
HDAC5	HDAC7	1
HDAC10	HDAC10	1
CDC37	GAB1	1
HSP90AA1	GAB1	1
CDC37	PIK3R1	1
CDC37	EGF	1
HSP90AA1	EGF	1
EGF	TGFA	1
EGF	AREG	1
BTC	AREG	1
AREG	EGFR	1
TP53	POLK	0
RB1	E2F1	0
GSK3B	CTNNB1	0
NKX3-1	AKT3	0
NKX3-1	AKT1	0
SPI1	CSF3R	0
SPI1	CSF2RA	0
RUNX1T1	CSF1R	0
EGLN2	EPAS1	0
EGLN3	EPAS1	0
EP300	TP53	0
SPI1	FCGR1A	0
TP53	SLC2A1	0
TP53	PTEN	0
CD93	C1QA	0
EP300	CD44	0
RNF135	IFIH1	0
ATP8B3	TMEM30B	0
PKN2	RPS6KA1	0
NR5A2	SIRT1	0
SDC2	FGF1	0
AKAP8L	AKAP8	0
SMAD1	ANAPC10	0
GATA1	PRKCZ	0
TJAP1	TJP1	0
CD274	CTLA4	0
APPL1	RAB7A	0
APPL2	RAB7A	0
EXOC1	RHOA	0
TSC1	CDKN1B	0
OPA1	MAVS	0
GRAP2	SOS1	0
FHOD1	RHOA	0
PIAS3	STAT1	0
EIF4E	SCPEP1	0
NCK1	EGFR	0
HM13	SERP1	0
IL4R	IL13	0
PIBF1	IL4R	0
NFKB1	SET	0
EIF3I	ACVR2A	0
TRADD	TNFRSF10A	0
TRADD	TNFRSF10B	0
OAS1	MBD1	0
MED28	MSN	0
PLAUR	PLAU	0
AKAP17A	U2AF1	0
VDR	UIMC1	0
RARG	UIMC1	0
INTS9	CPSF3	0
GLMN	IGF1R	0
RACK1	GNAQ	0
CFP	CD55	0
TICAM1	TLR4	0
PDGFC	FLT1	0
BMPR1A	TGFB1	0
CTNND1	APC	0
CTNND1	CTNNA1	0
LYZ	CD209	0
MTA1	FKBP3	0
NR6A1	NRIP1	0
UBE2A	FANCL	0
CD274	ICOS	0
CTNNB1	HSP90B1	0
